Sprint,Day,Planned_Remaining,Actual_Remaining,Stories_Completed
Sprint 1,1,38.7,35.3,2
Sprint 1,2,34.4,32.6,3
Sprint 1,3,30.1,24.7,3
Sprint 1,4,25.8,23.9,0
Sprint 1,5,21.5,18.9,0
Sprint 1,6,17.2,8.4,1
Sprint 1,7,12.9,6.2,2
Sprint 1,8,8.6,0,2
Sprint 1,9,4.3,0,0
Sprint 1,10,0.0,0,0
Sprint 2,1,45.9,47.6,2
Sprint 2,2,40.8,46.0,0
Sprint 2,3,35.7,35.4,2
Sprint 2,4,30.6,26.4,1
Sprint 2,5,25.5,18.2,0
Sprint 2,6,20.4,6.5,3
Sprint 2,7,15.3,0,1
Sprint 2,8,10.2,0,0
Sprint 2,9,5.1,0,3
Sprint 2,10,0,0,3
Sprint 3,1,51.3,49.7,0
Sprint 3,2,45.6,42.0,1
Sprint 3,3,39.9,36.5,2
Sprint 3,4,34.2,27.4,1
Sprint 3,5,28.5,26.3,0
Sprint 3,6,22.8,20.9,1
Sprint 3,7,17.1,11.6,0
Sprint 3,8,11.4,10.2,0
Sprint 3,9,5.7,0.3,0
Sprint 3,10,0,0,2
Sprint 4,1,51.3,55.7,0
Sprint 4,2,45.6,44.6,0
Sprint 4,3,39.9,36.6,0
Sprint 4,4,34.2,30.4,2
Sprint 4,5,28.5,20.0,2
Sprint 4,6,22.8,11.8,0
Sprint 4,7,17.1,0.2,1
Sprint 4,8,11.4,0,3
Sprint 4,9,5.7,0,3
Sprint 4,10,0,0,2
Sprint 5,1,49.5,51.4,0
Sprint 5,2,44.0,51.2,0
Sprint 5,3,38.5,39.9,1
Sprint 5,4,33.0,33.1,1
Sprint 5,5,27.5,22.2,1
Sprint 5,6,22.0,8.8,1
Sprint 5,7,16.5,3.0,2
Sprint 5,8,11.0,0,1
Sprint 5,9,5.5,0,1
Sprint 5,10,0,0,0
Sprint 6,1,53.1,49.5,2
Sprint 6,2,47.2,43.8,1
Sprint 6,3,41.3,41.3,2
Sprint 6,4,35.4,26.9,0
Sprint 6,5,29.5,23.0,1
Sprint 6,6,23.6,13.9,0
Sprint 6,7,17.7,4.4,0
Sprint 6,8,11.8,3.1,0
Sprint 6,9,5.9,3.0,0
Sprint 6,10,0.0,0,0
