Month,Category,Planned_Budget,Actual_Spend,Variance
Jan-2026,Infrastructure,15022,22649,7627
Jan-2026,Development,68421,58829,-9592
Jan-2026,Testing,27837,25075,-2762
Jan-2026,Operations,58929,61261,2332
Jan-2026,Training,74880,70451,-4429
Feb-2026,Infrastructure,70506,77758,7252
Feb-2026,Development,48396,44569,-3827
Feb-2026,Testing,78373,70832,-7541
Feb-2026,Operations,37487,33304,-4183
Feb-2026,Training,17041,16941,-100
Mar-2026,Infrastructure,51000,43465,-7535
Mar-2026,Development,71294,73193,1899
Mar-2026,Testing,51592,66223,14631
Mar-2026,Operations,22620,33939,11319
Mar-2026,Training,67121,79488,12367
Apr-2026,Infrastructure,79196,91703,12507
Apr-2026,Development,34115,29026,-5089
Apr-2026,Testing,55130,56937,1807
Apr-2026,Operations,20846,27358,6512
Apr-2026,Training,70546,68092,-2454
May-2026,Infrastructure,63615,63666,51
May-2026,Development,26940,32165,5225
May-2026,Testing,49647,55676,6029
May-2026,Operations,34672,41424,6752
May-2026,Training,63396,61152,-2244
Jun-2026,Infrastructure,25273,29198,3925
Jun-2026,Development,39584,39140,-444
Jun-2026,Testing,33644,43608,9964
Jun-2026,Operations,45084,47921,2837
Jun-2026,Training,48348,39144,-9204
